"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Seth Lugo","RP","NYM","61","0","80.0","56","28","24","16","104","7","4","6","0.90","2.70","2.15","96.50","$3,925,000","$3,925,000","$3,925,000","$9,537,502","29","225","6'4""",""
"","Zac Gallen","SP","ARI","15","15","80.0","62","26","25","36","96","3","6","0","1.23","2.81","1.33","0.00","$745,600","$745,600","$745,600","$2,424,579","23","191","6'2""",""
"","David Hess","RP","BAL","23","14","80.0","94","73","63","30","68","1","10","0","1.55","7.09","-1.09","0.00","$0","$0","$0","$0","25","215","6'1""",""
"","Julio Urias","RP","LAD","37","8","79.7","59","28","22","27","85","4","3","4","1.08","2.49","1.32","0.00","$8,000,000","$8,000,000","$8,000,000","$15,649,814","22","225","6'0""",""
"","Nick Ramirez","RP","DET","46","0","79.7","76","45","36","35","74","5","4","0","1.39","4.07","0.84","0.00","$0","$0","$0","$0","29","240","6'3""",""
"","Josh Tomlin","RP","ATL","51","1","79.3","82","35","33","7","51","2","1","2","1.12","3.74","1.06","65.94","$0","$0","$0","$0","34","190","6'1""",""
"","Jordan Yamamoto","P","MIA","16","15","78.7","54","42","39","36","82","4","5","0","1.14","4.46","0.95","0.00","$0","$0","$0","$0","23","185","6'0""",""
"","Jesse Chavez","RP","TEX","48","9","78.0","82","48","42","22","72","3","5","1","1.33","4.85","0.71","0.00","$1,250,000","$247,248","$1,250,000","$23,183,342","35","175","6'2""",""
"","Erick Fedde","RP","WSH","21","12","78.0","81","39","39","33","41","4","2","0","1.46","4.50","1.08","0.00","$2,150,000","$2,150,000","$2,150,000","$6,230,357","26","200","6'4""",""
"","Jacob Waguespack","SP","TOR","16","13","78.0","75","43","38","29","63","5","5","0","1.33","4.39","0.93","0.00","$0","$0","$0","$0","25","235","6'6""",""
"","Ryne Stanek","RP","MIA","65","27","77.0","61","39","34","39","89","0","5","1","1.30","3.97","0.89","48.37","$2,100,000","$2,100,000","$2,100,000","$6,353,886","27","226","6'4""",""
"","Chris Stratton","SP","PIT","35","5","76.0","93","50","47","33","69","1","3","0","1.66","5.57","-0.64","6.90","$2,700,000","$949,440","$2,700,000","$7,621,649","28","205","6'2""",""
"","Collin McHugh","RP","HOU","35","8","74.7","62","41","39","30","82","4","5","0","1.23","4.70","0.41","0.00","$4,000,000","$4,000,000","$5,000,000","$22,554,315","32","190","6'2""",""
"","Giovanny Gallegos","RP","STL","67","0","74.0","44","19","19","16","93","3","2","1","0.81","2.31","2.21","91.96","$2,410,000","$2,410,000","$2,410,000","$3,985,829","27","215","6'2""",""
"","Miguel Castro","RP","BAL","65","0","73.3","63","42","38","41","71","1","3","2","1.42","4.66","0.57","39.34","$2,620,000","$2,620,000","$2,620,000","$7,217,601","24","205","6'7""",""
"","Dario Agrazal","SP","PIT","15","14","73.3","82","43","40","18","41","4","5","0","1.36","4.91","0.61","0.00","$0","$0","$0","$0","24","240","6'2""",""
"","Daniel Hudson","RP","WSH","69","1","73.0","56","25","20","27","71","9","3","8","1.14","2.47","1.10","79.69","$6,000,000","$6,000,000","$7,000,000","$32,855,873","32","215","6'3""",""
"","Dinelson Lamet","SP","SD","14","14","73.0","62","38","33","30","105","3","5","0","1.26","4.07","0.50","0.00","$4,775,000","$1,600,396","$4,775,000","$11,371,279","26","187","6'4""",""
"","Thomas Pannone","RP","TOR","37","7","73.0","73","51","50","31","69","3","6","0","1.42","6.16","-0.34","0.00","$0","$0","$0","$0","25","200","6'0""",""
"","Dylan Cease","SP","CHW","15","15","73.0","78","51","46","35","81","4","7","0","1.55","5.67","-0.17","0.00","$750,000","$750,000","$750,000","$3,328,539","23","195","6'2""",""
"","Hansel Robles","RP","LAA","71","1","72.7","58","20","20","16","75","5","1","23","1.02","2.48","2.57","97.41","$0","$0","$0","$0","28","220","6'0""",""
"","Luke Jackson","RP","ATL","71","0","72.7","76","34","31","26","106","9","2","18","1.40","3.84","0.69","71.36","$3,600,000","$3,600,000","$3,600,000","$9,824,145","27","210","6'2""",""
"","John Brebbia","RP","STL","66","0","72.7","59","31","29","27","87","3","4","0","1.18","3.59","0.75","63.85","$837,500","$837,500","$837,500","$3,108,097","29","200","6'1""",""
"","Ty Buttrey","RP","LAA","72","0","72.3","69","34","32","23","84","6","7","2","1.27","3.98","0.93","61.24","$0","$0","$0","$0","26","240","6'6""",""
"","Luis Perdomo","RP","SD","47","1","72.0","69","34","32","18","55","2","4","0","1.21","4.00","0.49","0.00","$700,000","$473,058","$700,000","$2,535,079","26","185","6'2""",""
"","Bryan Shaw","RP","COL","70","1","72.0","69","44","43","29","58","3","2","1","1.36","5.38","0.58","5.91","$3,000,000","$3,000,000","$3,000,000","$38,180,108","31","226","6'1""",""
"","Carlos Estevez","RP","COL","71","0","72.0","70","34","30","23","81","2","2","0","1.29","3.75","1.57","52.67","$3,025,000","$3,025,000","$3,025,000","$6,450,680","26","277","6'6""",""
"","Felix Hernandez","SP","SEA","15","15","71.7","85","58","51","25","57","1","8","0","1.53","6.41","-0.64","0.00","$0","$0","$0","$0","33","225","6'3""",""
"","Archie Bradley","CL","ARI","66","1","71.7","67","30","28","36","87","4","5","18","1.44","3.52","-0.01","0.00","$3,750,000","$3,750,000","$3,750,000","$20,123,043","26","215","6'4""",""
"","Jared Hughes","RP","PHI","72","0","71.3","57","37","32","27","54","5","5","1","1.18","4.04","0.05","34.00","$0","$0","$0","$0","33","240","0'0""",""
"","Wander Suero","RP","WSH","78","0","71.3","64","36","36","26","81","6","9","1","1.26","4.54","0.65","57.54","$0","$0","$0","$0","27","211","6'4""",""
"","Matt Andriese","RP","ARI","54","0","70.7","72","37","37","27","79","5","5","1","1.40","4.71","0.09","38.17","$0","$0","$0","$0","29","215","6'2""",""
"","Scott Barlow","P","KC","61","0","70.3","64","33","33","37","92","3","3","1","1.44","4.22","0.84","0.00","$2,400,000","$2,400,000","$2,400,000","$4,255,006","26","210","6'3""",""
"","Francisco Liriano","RP","PIT","69","0","70.0","60","32","27","35","63","5","3","0","1.36","3.47","0.99","51.53","$0","$0","$0","$0","35","218","6'3""",""
"","Jeff Hoffman","SP","COL","18","15","70.0","77","51","51","34","68","2","6","0","1.59","6.56","0.31","6.08","$925,000","$925,000","$925,000","$5,501,003","26","235","6'5""",""
"","Emilio Pagan","RP","TB","66","0","70.0","45","19","18","13","96","4","2","20","0.83","2.31","2.40","96.44","$2,300,000","$2,300,000","$2,300,000","$5,619,349","28","208","6'2""",""
"","Ross Detwiler","RP","CHW","18","12","69.7","86","54","51","27","46","3","5","0","1.62","6.59","-0.50","0.00","$0","$0","$0","$0","33","210","6'5""",""
"","Pedro Baez","RP","LAD","71","0","69.7","43","30","24","23","69","7","2","1","0.95","3.10","0.45","70.59","$0","$0","$0","$0","31","232","6'0""",""
"","Joakim Soria","RP/CL","OAK","71","0","69.0","51","33","33","20","79","2","4","1","1.03","4.30","0.37","27.84","$0","$0","$0","$0","35","205","6'3""",""
"","Taylor Rogers","RP","MIN","60","0","69.0","58","20","20","11","90","2","4","30","1.00","2.61","2.49","97.49","$7,300,000","$250,000","$7,300,000","$17,738,148","28","190","6'3""",""
"","Chris Devenski","RP","HOU","61","1","69.0","69","39","37","21","72","2","3","0","1.30","4.83","0.04","19.92","$0","$0","$0","$0","28","210","6'3""",""
"","Chad Green","RP","NYY","54","15","69.0","66","35","32","19","98","4","4","2","1.23","4.17","0.36","47.47","$4,000,000","$4,000,000","$4,000,000","$8,576,789","28","215","6'3""",""
"","Jose Leclerc","RP","TEX","70","3","68.7","52","34","33","39","100","2","4","14","1.33","4.33","1.41","50.75","$5,250,000","$4,750,000","$3,687,500","$13,734,787","25","190","6'0""",""
"","Diego Castillo","RP/CL","TB","66","6","68.7","59","32","26","26","81","5","8","8","1.24","3.41","0.56","62.78","$2,150,000","$2,150,000","$2,150,000","$3,849,668","25","250","6'3""",""
"","Wei-Yin Chen","RP","MIA","45","0","68.3","87","54","50","18","63","0","1","0","1.54","6.59","-0.99","0.00","$0","$0","$0","$0","33","200","0'0""",""
"","Sean Newcomb","RP","ATL","55","4","68.3","61","28","24","29","65","6","3","1","1.32","3.16","1.24","73.41","$900,000","$568,675","$900,000","$5,252,859","26","255","6'5""",""
"","Edwin Jackson","SP","DET","18","13","67.7","105","81","72","32","52","3","10","0","2.03","9.58","-1.54","0.14","$0","$0","$0","$0","35","210","0'0""",""
"","Nathan Eovaldi","SP","BOS","23","12","67.7","72","46","45","35","70","2","1","0","1.58","5.99","0.12","2.23","$17,000,000","$17,000,000","$17,000,000","$72,359,296","29","217","6'2""",""
"","Javy Guerra","RP","WSH","51","0","67.7","67","36","35","17","57","3","1","2","1.24","4.66","0.18","42.79","$0","$0","$0","$0","33","216","6'1""",""
"","Noe Ramirez","RP","LAA","51","6","67.7","59","30","30","20","79","5","4","0","1.17","3.99","0.95","66.09","$0","$0","$0","$0","29","205","6'3""",""
"","Buck Farmer","RP","DET","73","1","67.7","62","32","28","24","73","6","6","0","1.27","3.72","1.44","59.47","$850,000","$569,740","$850,000","$4,781,703","28","232","6'4""",""
"","Hector Neris","RP","PHI","68","0","67.7","45","24","22","24","89","3","6","28","1.02","2.93","1.75","90.28","$8,000,000","$8,000,000","$8,500,000","$18,421,684","30","227","6'2""",""
"","Josh Osich","RP","CHW","57","0","67.7","62","38","35","15","61","4","0","0","1.14","4.66","0.45","43.36","$0","$0","$0","$0","30","232","6'3""",""
"","Aaron Bummer","RP","CHW","58","0","67.7","43","17","16","24","60","0","0","1","0.99","2.13","2.80","95.32","$2,500,000","$2,500,000","$3,200,000","$5,921,731","25","215","6'3""",""
"","Mark Melancon","RP/CL","ATL","67","0","67.3","71","28","27","18","68","5","2","12","1.32","3.61","0.58","17.05","$6,000,000","$6,000,000","$7,000,000","$88,111,776","34","215","6'1""",""
"","Raisel Iglesias","RP/CL","CIN","68","0","67.0","61","31","31","21","89","3","12","34","1.22","4.16","0.78","45.35","$10,000,000","$3,516,480","$14,500,000","$45,458,323","29","190","6'2""",""
"","Adam Ottavino","RP","NYY","73","0","66.3","47","17","14","40","88","6","5","2","1.31","1.90","2.17","56.66","$4,000,000","$4,000,000","$4,000,000","$41,899,962","33","246","6'5""",""
"","John Gant","RP","STL","64","0","66.3","51","29","27","34","60","11","1","3","1.28","3.66","0.68","77.81","$0","$0","$0","$0","26","200","6'4""",""
"","Will Smith","RP","SF","63","0","65.3","46","20","20","21","96","6","0","34","1.03","2.76","2.06","95.46","$13,000,000","$4,642,857","$13,333,333","$43,655,815","29","255","6'5""",""
"","Richard Rodriguez","RP","PIT","72","0","65.3","65","30","27","23","63","4","5","1","1.35","3.72","0.84","42.06","$0","$0","$0","$0","29","220","6'4""",""
"","Roberto Osuna","RP/CL","HOU","66","0","65.0","45","20","19","12","73","4","3","38","0.88","2.63","1.99","94.29","$0","$0","$0","$0","24","215","0'0""",""
"","Nick Anderson","RP","TB","68","0","65.0","52","24","24","18","110","5","4","1","1.08","3.32","0.54","60.49","$0","$0","$0","$0","28","205","6'4""",""
"","Robert Stephenson","RP","CIN","57","0","64.7","43","30","27","24","81","3","2","0","1.04","3.76","0.63","58.26","$1,280,000","$274,287","$1,280,000","$5,662,307","26","205","6'3""",""
"","Joseph Biagini","RP","HOU","63","0","64.7","71","35","33","26","60","3","2","1","1.50","4.59","0.72","23.90","$0","$0","$0","$0","29","235","6'5""",""
"","Matt Barnes","RP","BOS","70","0","64.3","51","29","27","38","110","5","4","4","1.38","3.78","1.26","57.69","$8,125,000","$9,000,000","$9,375,000","$19,666,615","29","208","6'4""",""
"","Trevor May","RP","MIN","65","0","64.3","43","24","21","26","79","5","3","2","1.07","2.94","1.25","76.69","$7,750,000","$7,750,000","$7,750,000","$20,224,289","29","240","6'5""",""
"","Luke Weaver","SP","ARI","13","12","64.3","55","22","21","14","69","4","3","0","1.07","2.94","1.72","0.00","$2,875,000","$1,026,786","$2,875,000","$8,302,240","25","170","6'2""",""
"","Steve Cishek","RP","CHC","70","0","64.0","48","22","21","29","57","4","6","7","1.20","2.95","1.78","58.66","$1,750,000","$1,750,000","$1,750,000","$42,432,944","33","215","6'6""",""
"","Joe Ross","SP","WSH","28","9","64.0","74","41","39","33","57","4","4","0","1.67","5.48","0.12","15.13","$2,400,000","$2,400,000","$2,400,000","$9,245,465","26","220","6'4""",""
"","Chad Bettis","SP","COL","39","3","63.7","78","47","43","21","42","1","6","1","1.55","6.08","-0.15","6.81","$0","$0","$0","$0","30","201","0'0""",""
"","Robert Gsellman","RP","NYM","52","0","63.7","64","36","33","23","60","2","3","1","1.37","4.67","-0.03","29.71","$0","$0","$0","$0","25","205","6'4""",""
"","Ian Kennedy","RP","KC","63","0","63.3","64","24","24","17","73","3","2","30","1.28","3.41","1.41","48.40","$4,500,000","$4,500,000","$4,750,000","$74,374,811","34","205","6'0""",""
"","Kenley Jansen","RP/CL","LAD","62","0","63.0","51","28","26","16","80","5","3","34","1.06","3.71","0.17","26.30","$16,000,000","$16,000,000","$16,000,000","$108,460,667","31","265","6'5""",""
"","Chi Chi Gonzalez","SP","COL","14","12","63.0","59","39","37","33","46","2","6","0","1.46","5.29","0.85","0.00","$0","$0","$0","$0","27","210","6'3""",""
"","Mychal Givens","RP","BAL","58","0","63.0","49","35","32","26","86","2","6","11","1.19","4.57","0.61","45.73","$3,500,000","$1,250,000","$5,000,000","$13,493,157","29","230","6'0""",""
"","Shane Greene","RP","ATL","65","0","62.7","46","22","16","17","64","0","3","23","1.00","2.30","1.72","85.62","$0","$0","$0","$0","30","200","6'4""",""
"","Sam Dyson","RP","MIN","61","0","62.3","53","26","23","13","55","5","1","2","1.06","3.32","1.19","62.69","$0","$0","$0","$0","31","212","6'1""",""
"","Yimi Garcia","RP","LAD","64","0","62.3","40","28","25","14","66","1","4","0","0.87","3.61","0.30","39.87","$4,500,000","$5,000,000","$5,500,000","$9,983,510","28","228","6'2""",""
"","Brett Martin","P","TEX","51","2","62.3","72","38","33","18","62","2","3","0","1.44","4.77","0.65","0.00","$1,025,000","$1,025,000","$1,025,000","$2,745,412","24","190","6'4""",""
"","Alexander Claudio","RP","MIL","83","0","62.0","57","29","28","24","44","2","2","0","1.31","4.07","0.56","28.59","$0","$0","$0","$0","27","188","6'3""",""
"","Luis Garcia","RP","LAA","64","1","62.0","61","35","30","33","57","2","1","1","1.52","4.36","0.14","17.77","$3,250,000","$3,000,000","$3,500,000","$7,681,407","32","240","6'2""",""
"","Josh A. Smith","RP","BOS","36","4","62.0","72","44","40","16","58","0","6","2","2.84","11.62","-0.02","0.00","$0","$0","$0","$0","31","220","6'2""",""
"","Zack Britton","RP","NYY","66","0","61.3","38","13","13","32","53","3","1","3","1.14","1.91","2.38","56.15","$14,000,000","$14,000,000","$13,000,000","$79,572,260","31","200","6'1""",""
"","Blake Parker","RP","PHI","60","2","61.3","53","32","31","22","65","3","3","10","1.22","4.55","0.30","45.82","$0","$0","$0","$0","34","225","6'3""",""
"","Tommy Kahnle","RP","NYY","72","0","61.3","45","27","25","20","88","3","2","0","1.06","3.67","0.75","52.72","$3,725,000","$3,450,000","$2,625,000","$10,353,318","29","235","6'1""",""
"","Cam Bedrosian","RP","LAA","59","7","61.3","48","30","22","22","64","3","3","1","1.14","3.23","0.61","57.42","$0","$0","$0","$0","27","225","6'1""",""
"","Josh James","RP","HOU","49","1","61.3","46","34","32","35","100","5","1","1","1.32","4.70","0.10","42.92","$800,000","$800,000","$800,000","$2,120,184","26","234","6'3""",""
"","Jake Diekman","RP","OAK","75","0","61.0","48","34","32","39","82","1","7","0","1.43","4.72","0.16","20.76","$3,500,000","$1,230,784","$4,000,000","$20,335,507","32","195","6'4""",""
"","Alex Colome","RP","CHW","62","0","61.0","42","28","19","23","55","4","5","30","1.07","2.80","0.98","73.24","$4,100,000","$4,100,000","$4,100,000","$28,609,822","30","225","6'1""",""
"","Kyle Ryan","RP","CHC","73","0","61.0","55","26","24","29","58","4","2","0","1.38","3.54","1.07","60.56","$0","$0","$0","$0","27","215","6'5""",""
"","Hector Rondon","RP","HOU","62","1","60.7","56","25","25","20","48","3","2","0","1.25","3.71","0.83","29.50","$0","$0","$0","$0","31","230","6'3""",""
"","Yoan Lopez","RP","ARI","70","0","60.7","52","27","23","17","42","2","7","1","1.14","3.41","0.61","43.31","$0","$0","$0","$0","26","185","6'3""",""
"","Adam Conley","RP","MIA","60","0","60.7","76","45","44","29","53","2","11","2","1.73","6.53","-1.10","2.70","$0","$0","$0","$0","29","200","6'3""",""
"","Derek Law","RP","TOR","58","4","60.7","61","36","33","40","67","1","2","5","1.66","4.90","0.10","17.86","$700,000","$138,456","$700,000","$1,736,909","28","215","6'3""",""
"","Tyler Glasnow","SP","TB","12","12","60.7","40","13","12","14","76","6","1","0","0.89","1.78","2.58","0.00","$5,100,000","$5,100,000","$5,100,000","$12,200,032","25","225","6'8""",""
"","Kevin McCarthy","RP","KC","56","0","60.3","68","31","30","21","38","4","2","1","1.48","4.48","0.46","42.48","$0","$0","$0","$0","27","210","6'3""",""
"","Sean Doolittle","RP","WSH","63","0","60.0","63","27","27","15","66","6","5","29","1.30","4.05","0.99","69.53","$1,500,000","$1,500,000","$1,500,000","$23,122,407","32","204","6'2""",""
"","Jeurys Familia","RP","NYM","66","0","60.0","62","39","38","42","63","4","2","0","1.73","5.70","-0.44","1.42","$700,000","$203,838","$700,000","$49,057,712","29","240","6'3""",""
"","Will Harris","RP","HOU","68","0","60.0","42","14","10","14","62","4","1","4","0.93","1.50","2.07","86.62","$8,000,000","$8,000,000","$8,000,000","$30,621,614","34","240","6'4""",""
"","Felipe Vazquez","RP","PIT","56","0","60.0","43","12","11","13","90","5","1","28","0.93","1.65","2.86","98.11","$10,000,000","$0","$5,625,000","$10,002,130","27","225","6'2""",""
"","Lou Trivino","RP","OAK","61","0","60.0","61","40","35","31","57","4","6","0","1.53","5.25","-0.86","14.04","$3,000,000","$1,071,460","$3,000,000","$5,255,216","27","235","6'5""",""
"","Matt Albers","RP","MIL","67","0","59.7","53","34","34","29","57","8","6","4","1.37","5.13","-0.19","29.68","$0","$0","$0","$0","36","225","6'1""",""
"","Daniel Mengden","RP","OAK","13","11","59.7","59","32","32","27","42","5","2","1","1.44","4.83","0.31","0.00","$0","$0","$0","$0","26","225","6'1""",""
"","Joe Jimenez","RP","DET","66","0","59.7","56","33","29","23","82","4","7","9","1.32","4.37","0.62","37.05","$1,790,000","$1,790,000","$1,790,000","$4,942,255","24","272","6'3""",""
"","Clay Buchholz","SP","TOR","12","12","59.0","72","44","43","16","39","2","5","0","1.49","6.56","-0.33","0.00","$0","$0","$0","$0","34","190","6'3""",""
"","Rich Hill","SP","LAD","13","13","58.7","48","20","16","18","72","4","1","0","1.13","2.46","1.25","0.00","$5,000,000","$5,000,000","$5,000,000","$71,557,809","39","221","6'5""",""
"","Blake Treinen","RP/CL","OAK","57","0","58.7","58","33","32","37","59","6","5","16","1.62","4.91","-0.34","18.89","$8,000,000","$9,000,000","$8,750,000","$29,857,164","31","225","6'5""",""
"","Dylan Covey","SP","CHW","19","12","58.7","75","54","52","28","41","1","8","0","1.76","7.98","-1.21","3.21","$0","$0","$0","$0","27","220","6'1""",""
"","Drew VerHagen","RP","DET","22","4","58.0","70","40","38","23","51","4","3","0","1.60","5.90","-0.04","0.00","$2,500,000","$2,500,000","$2,750,000","$4,492,777","28","230","6'6""",""
"","Shawn Armstrong","RP","BAL","56","1","58.0","66","38","37","29","63","1","2","5","1.64","5.74","-0.33","14.74","$700,000","$700,000","$700,000","$3,405,921","28","225","6'2""",""
"","Edwin Diaz","RP/CL","NYM","66","0","58.0","58","36","36","22","99","2","7","26","1.38","5.59","-0.55","23.58","$10,200,000","$10,200,000","$10,200,000","$21,619,614","25","165","6'3""",""
"","Erik Swanson","RP","SEA","27","8","58.0","56","41","37","12","52","1","5","2","1.17","5.74","-0.30","0.00","$711,600","$711,600","$711,600","$1,893,232","25","220","6'3""",""
"","Jairo Diaz","RP","COL","56","0","57.7","56","34","29","19","63","6","4","5","1.30","4.53","0.64","53.50","$0","$0","$0","$0","28","200","6'0""",""
"","Tyler Duffey","RP","MIN","58","0","57.7","44","23","16","14","82","5","1","0","1.01","2.50","0.95","75.62","$0","$0","$0","$0","28","220","6'3""",""
"","Gregory Soto","RP/CL","DET","34","6","57.7","74","39","37","33","45","0","5","0","1.86","5.78","0.24","0.00","$722,400","$722,400","$722,400","$1,825,616","24","236","6'1""",""
"","Paul Fry","RP","BAL","66","0","57.3","54","39","34","29","55","1","9","3","1.45","5.34","-0.19","18.44","$0","$0","$0","$0","26","205","6'0""",""
"","Aroldis Chapman","RP","NYY","60","0","57.0","38","18","14","25","85","3","2","37","1.11","2.21","1.52","62.94","$18,000,000","$18,000,000","$16,000,000","$149,066,491","31","218","6'4""",""
"","Nick Margevicius","P","SD","17","12","57.0","73","46","43","19","42","2","6","0","1.61","6.79","-0.98","0.00","$0","$0","$0","$0","23","220","6'5""",""
"","Michael Feliz","RP","PIT","58","1","56.3","44","27","25","27","73","4","4","0","1.26","3.99","0.62","41.48","$0","$0","$0","$0","26","250","6'4""",""
"","Hector Velazquez","RP","BOS","34","8","56.3","58","40","34","28","49","1","4","0","1.53","5.43","-0.05","0.00","$0","$0","$0","$0","30","180","6'0""",""
"","Oliver Drake","RP","TB","50","0","56.0","36","20","20","19","70","5","2","2","0.98","3.21","1.23","81.47","$0","$0","$0","$0","32","220","6'4""",""
"","T.J. McFarland","RP","ARI","51","0","56.0","71","35","30","20","35","0","0","0","1.63","4.82","-0.51","10.67","$0","$0","$0","$0","30","200","6'3""",""
"","Scott Oberg","RP","COL","49","0","56.0","39","18","14","23","58","6","1","5","1.11","2.25","2.41","96.06","$7,000,000","$7,000,000","$4,333,333","$14,921,284","29","203","6'2""",""
"","Amir Garrett","RP","CIN","69","0","56.0","44","22","20","35","78","5","3","0","1.41","3.21","1.21","52.87","$2,025,000","$2,025,000","$2,025,000","$6,138,478","27","239","6'5""",""
"","Ryan Brasier","RP","BOS","62","0","55.7","51","33","30","21","61","2","4","7","1.29","4.85","0.17","35.54","$1,400,000","$1,400,000","$1,400,000","$4,117,523","31","227","6'0""",""
"","Chris Martin","RP","ATL","58","0","55.7","52","23","21","5","65","1","3","4","1.02","3.40","1.51","68.77","$2,500,000","$934,066","$2,500,000","$16,179,160","33","225","6'8""",""
"","Cory Gearrin","RP","NYY","66","1","55.3","55","25","25","25","47","1","3","0","1.45","4.07","0.69","33.55","$0","$0","$0","$0","33","205","6'1""",""
"","Robbie Erlin","RP","SD","37","1","55.3","72","36","33","15","52","0","1","0","1.57","5.37","-0.46","0.00","$0","$0","$0","$0","28","190","6'0""",""
"","Richard Bleier","RP","BAL","53","1","55.3","65","34","33","8","30","3","0","4","1.32","5.37","0.26","34.14","$2,250,000","$2,250,000","$3,000,000","$6,071,916","32","215","6'3""",""
"","Tyler Webb","RP","STL","65","0","55.0","33","23","23","23","48","2","1","1","1.02","3.76","0.64","57.95","$0","$0","$0","$0","28","240","6'5""",""
"","Adam Kolarek","RP","LAD","82","0","55.0","48","22","20","16","45","6","3","1","1.16","3.27","0.53","50.60","$0","$0","$0","$0","30","215","6'3""",""
"","Jace Fry","RP","CHW","68","0","55.0","44","33","29","43","68","3","4","0","1.58","4.75","0.15","22.01","$0","$0","$0","$0","25","220","6'1""",""
"","Andrew Miller","RP","STL","73","0","54.7","45","32","27","27","70","5","6","6","1.32","4.45","-0.45","2.87","$0","$0","$0","$0","34","200","6'7""",""
"","Colten Brewer","RP","BOS","58","0","54.7","59","26","25","34","52","1","2","0","1.70","4.12","0.91","27.57","$0","$0","$0","$0","26","222","6'4""",""
"","Brad Brach","RP","NYM","59","0","54.3","57","33","33","31","60","5","4","0","1.62","5.47","-0.37","23.15","$0","$0","$0","$0","33","215","6'6""",""
"","Ryan Pressly","RP/CL","HOU","55","0","54.3","37","15","14","12","72","2","3","3","0.90","2.32","1.79","65.81","$10,000,000","$10,000,000","$15,000,000","$28,840,766","30","206","6'2""",""
"","Ryne Harper","RP","MIN","61","0","54.3","54","25","23","10","50","4","2","1","1.18","3.81","0.61","0.00","$0","$0","$0","$0","30","215","6'3""",""
"","Tony Watson","RP","SF","60","0","54.0","56","26","25","12","41","2","2","0","1.26","4.17","0.22","21.31","$0","$0","$0","$0","34","218","6'3""",""
"","Tyler Alexander","P","DET","13","8","53.7","68","30","29","7","47","1","4","0","1.40","4.86","0.96","0.00","$716,900","$716,900","$716,900","$2,678,624","24","200","6'2""",""
"","Anthony Swarzak","RP","ATL","59","0","53.3","52","30","27","27","52","3","4","4","1.48","4.56","-0.34","6.82","$0","$0","$0","$0","33","215","6'4""",""
"","Ken Giles","RP","TOR","55","0","53.0","36","11","11","17","83","2","3","23","1.00","1.87","2.44","91.79","$0","$0","$0","$0","28","210","6'3""",""
"","Yoshihisa Hirano","RP/CL","ARI","62","0","53.0","51","31","28","22","61","5","5","1","1.38","4.76","-0.33","20.88","$0","$0","$0","$0","35","185","0'0""",""
"","Andrew Chafin","RP","ARI","78","0","52.7","52","23","22","18","68","2","2","0","1.33","3.76","0.72","40.12","$6,000,000","$6,500,000","$6,500,000","$16,508,962","29","235","6'2""",""
"","Trevor Gott","RP","SF","50","0","52.7","41","26","26","17","57","7","0","1","1.10","4.44","0.18","70.42","$725,000","$725,000","$725,000","$2,858,478","26","185","6'0""",""
"","Taylor Cole","RP","LAA","38","6","51.7","58","35","34","24","50","3","4","0","1.59","5.92","-0.37","0.00","$0","$0","$0","$0","29","200","6'1""",""
"","Colin Poche","P","TB","51","0","51.7","33","27","27","19","72","5","5","2","1.01","4.70","0.09","0.00","$700,000","$642,282","$700,000","$1,870,777","25","225","6'3""",""
"","Kelvin Herrera","RP","CHW","57","0","51.3","60","36","35","23","53","3","3","1","1.62","6.14","-0.39","2.11","$0","$0","$0","$0","29","200","0'0""",""
"","Joe Kelly","RP","LAD","55","0","51.3","49","31","26","22","62","5","4","1","1.38","4.56","-0.53","8.68","$7,000,000","$7,000,000","$8,500,000","$36,000,793","31","174","6'1""",""
"","Matt Wisler","RP","SEA","44","8","51.3","56","34","32","16","63","3","4","0","1.40","5.61","-0.16","0.00","$2,160,000","$2,160,000","$2,160,000","$5,759,020","26","215","6'3""",""
"","Tim Mayza","RP","TOR","68","0","51.3","45","29","28","27","55","1","3","0","1.40","4.91","0.23","21.11","$1,250,000","$1,250,000","$1,250,000","$2,975,058","27","220","6'3""",""
"","Chaz Roe","RP","TB","71","0","51.0","49","27","23","31","65","1","3","1","1.57","4.06","0.06","25.62","$0","$0","$0","$0","32","190","6'5""",""
"","Trey Wingenter","RP","SD","51","1","51.0","34","32","32","28","72","1","3","1","1.22","5.65","-0.52","26.48","$0","$0","$0","$0","25","200","6'7""",""
"","Matt Magill","RP/CL","SEA","50","0","50.7","51","31","23","20","64","5","2","5","1.40","4.09","-0.32","32.42","$0","$0","$0","$0","29","210","6'3""",""
"","Mike Morin","RP","PHI","52","0","50.7","46","29","26","10","26","1","3","1","1.11","4.62","0.19","42.65","$0","$0","$0","$0","28","220","6'4""",""
"","Evan Marshall","RP","CHW","55","0","50.7","42","16","14","24","41","4","2","0","1.30","2.49","1.77","77.22","$0","$0","$0","$0","29","235","6'2""",""
"","Jarlin Garcia","RP","MIA","53","0","50.7","40","17","17","16","39","4","2","0","1.11","3.02","1.27","78.39","$1,725,000","$1,725,000","$1,725,000","$4,819,935","26","215","6'3""",""
"","Roenis Elias","RP","WSH","48","0","50.0","46","32","22","18","47","4","2","14","1.28","3.96","-0.11","0.00","$0","$0","$0","$0","30","205","6'1""",""
